# File generated by CMD 2.5 (http://stev.oapd.inaf.it/cmd) on Mon Aug  4 23:51:38 CEST 2014
# PARSEC isochrones, release v1.1
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00100	Y = 0.25000	[M/H] = -1.190	eta_R = 0.200	Age = 	1.0500e+10 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	0.001000	10.0212	0.64757866	0.6474	-0.4966	3.7412	4.6567	6.011	6.786	6.829	6.172	5.764	5.384	4.901	4.508	4.454	2.99079323	1
	0.001000	10.0212	0.64999998	0.6498	-0.4866	3.7426	4.6539	5.986	6.745	6.795	6.144	5.740	5.362	4.882	4.492	4.439	2.99236870	1
	0.001000	10.0212	0.66341591	0.6632	-0.4312	3.7497	4.6357	5.848	6.520	6.614	5.994	5.603	5.237	4.775	4.399	4.350	3.00089645	1
	0.001000	10.0212	0.67823946	0.6780	-0.3695	3.7573	4.6138	5.694	6.297	6.421	5.833	5.456	5.101	4.657	4.294	4.249	3.00993824	1
	0.001000	10.0212	0.69176704	0.6915	-0.3125	3.7639	4.5920	5.551	6.095	6.246	5.684	5.320	4.975	4.547	4.195	4.154	3.01786137	1
	0.001000	10.0212	0.69999999	0.6997	-0.2772	3.7678	4.5776	5.463	5.973	6.138	5.593	5.236	4.897	4.478	4.133	4.094	3.02253795	1
	0.001000	10.0212	0.70455301	0.7042	-0.2575	3.7698	4.5685	5.414	5.906	6.079	5.542	5.188	4.852	4.438	4.096	4.059	3.02507877	1
	0.001000	10.0212	0.71464950	0.7143	-0.2130	3.7741	4.5472	5.303	5.757	5.946	5.427	5.081	4.751	4.347	4.013	3.978	3.03060126	1
	0.001000	10.0212	0.72410369	0.7237	-0.1705	3.7779	4.5259	5.196	5.626	5.823	5.318	4.979	4.655	4.260	3.933	3.900	3.03563690	1
	0.001000	10.0212	0.73342973	0.7330	-0.1275	3.7817	4.5033	5.089	5.499	5.701	5.209	4.876	4.558	4.171	3.850	3.820	3.04048085	1
	0.001000	10.0212	0.74206483	0.7416	-0.0867	3.7850	4.4808	4.987	5.380	5.585	5.104	4.778	4.465	4.086	3.771	3.742	3.04486060	1
	0.001000	10.0212	0.75000000	0.7495	-0.0478	3.7879	4.4583	4.890	5.268	5.475	5.005	4.684	4.375	4.003	3.693	3.666	3.04879928	1
	0.001000	10.0212	0.75120646	0.7507	-0.0419	3.7884	4.4548	4.875	5.251	5.458	4.990	4.669	4.362	3.990	3.681	3.654	3.04939103	1
	0.001000	10.0212	0.76014465	0.7596	0.0037	3.7915	4.4269	4.761	5.121	5.331	4.874	4.559	4.256	3.892	3.589	3.564	3.05371833	1
	0.001000	10.0212	0.76858473	0.7680	0.0487	3.7944	4.3984	4.648	4.994	5.205	4.759	4.449	4.151	3.793	3.496	3.472	3.05771494	1
	0.001000	10.0212	0.77616233	0.7756	0.0912	3.7970	4.3704	4.542	4.876	5.088	4.650	4.345	4.051	3.700	3.408	3.385	3.06123114	1
	0.001000	10.0212	0.78650653	0.7858	0.1527	3.8003	4.3278	4.388	4.707	4.919	4.493	4.194	3.906	3.562	3.277	3.255	3.06592536	1
	0.001000	10.0212	0.79614395	0.7954	0.2133	3.8030	4.2834	4.237	4.550	4.755	4.338	4.045	3.761	3.424	3.144	3.124	3.07019210	1
	0.001000	10.0212	0.80000001	0.7992	0.2392	3.8039	4.2631	4.172	4.484	4.687	4.273	3.981	3.699	3.364	3.086	3.066	3.07187057	1
	0.001000	10.0212	0.80503339	0.8042	0.2729	3.8051	4.2368	4.088	4.397	4.597	4.187	3.898	3.618	3.285	3.010	2.990	3.07403684	1
