# File generated by CMD 2.5 (http://stev.oapd.inaf.it/cmd) on Mon Aug  4 23:53:44 CEST 2014
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.00100		Age = 	1.050e+10 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF
	10.02	0.88262892	0.7093	3.4164	3.6041	0.2349	-3.771	0.382	-1.229	-2.807	-3.638	-4.346	-5.347	-6.171	-6.280	3.10423160
	10.02	0.88262969	0.7071	3.4324	3.6029	0.2126	-3.811	0.393	-1.241	-2.832	-3.670	-4.383	-5.390	-6.219	-6.328	3.10423183
	10.02	0.88263047	0.7047	3.4481	3.6017	0.1907	-3.850	0.403	-1.253	-2.857	-3.702	-4.419	-5.432	-6.265	-6.375	3.10423207
	10.02	0.88263124	0.7022	3.4638	3.6005	0.1686	-3.889	0.414	-1.265	-2.881	-3.733	-4.454	-5.473	-6.311	-6.422	3.10423231
	10.02	0.88263202	0.6995	3.4798	3.5993	0.1460	-3.929	0.423	-1.276	-2.904	-3.763	-4.490	-5.516	-6.358	-6.470	3.10423279
	10.02	0.88263273	0.6966	3.4954	3.5980	0.1237	-3.969	0.429	-1.286	-2.924	-3.791	-4.524	-5.558	-6.403	-6.517	3.10423303
	10.02	0.88263351	0.6938	3.5046	3.5973	0.1097	-3.992	0.434	-1.291	-2.936	-3.807	-4.543	-5.582	-6.430	-6.545	3.10423326
	10.02	0.88263428	0.6907	3.5138	3.5965	0.0957	-4.015	0.439	-1.296	-2.947	-3.823	-4.563	-5.607	-6.457	-6.573	3.10423350
	10.02	0.88263506	0.6877	3.5229	3.5958	0.0818	-4.037	0.444	-1.302	-2.959	-3.840	-4.583	-5.631	-6.484	-6.600	3.10423374
	10.02	0.88263583	0.6844	3.5321	3.5951	0.0677	-4.060	0.448	-1.307	-2.970	-3.856	-4.603	-5.655	-6.511	-6.628	3.10423398
	10.02	0.88263655	0.6811	3.5412	3.5944	0.0535	-4.083	0.453	-1.312	-2.982	-3.872	-4.622	-5.679	-6.537	-6.655	3.10423422
	10.02	0.88263732	0.6775	3.5506	3.5936	0.0389	-4.106	0.457	-1.318	-2.994	-3.889	-4.642	-5.704	-6.565	-6.683	3.10423446
	10.02	0.88263810	0.6739	3.5597	3.5929	0.0245	-4.129	0.462	-1.323	-3.005	-3.905	-4.662	-5.728	-6.592	-6.711	3.10423493
	10.02	0.88263887	0.6701	3.5689	3.5922	0.0100	-4.152	0.466	-1.329	-3.017	-3.921	-4.682	-5.753	-6.618	-6.739	3.10423517
	10.02	0.88263965	0.6661	3.5782	3.5914	-0.0049	-4.176	0.467	-1.336	-3.029	-3.938	-4.702	-5.777	-6.646	-6.767	3.10423541
	10.02	0.88264060	0.6612	3.5877	3.5907	-0.0207	-4.199	0.462	-1.346	-3.042	-3.955	-4.721	-5.802	-6.673	-6.795	3.10423565
	10.02	0.88264227	0.6518	3.6024	3.5894	-0.0465	-4.236	0.454	-1.361	-3.063	-3.981	-4.752	-5.840	-6.716	-6.840	3.10423636
	10.02	0.88264388	0.6419	3.6170	3.5882	-0.0725	-4.272	0.446	-1.377	-3.083	-4.007	-4.783	-5.878	-6.759	-6.884	3.10423684
	10.02	0.88264543	0.6318	3.6310	3.5871	-0.0982	-4.308	0.438	-1.392	-3.103	-4.032	-4.812	-5.914	-6.800	-6.926	3.10423732
	10.02	0.88264698	0.6211	3.6449	3.5859	-0.1242	-4.342	0.431	-1.407	-3.122	-4.056	-4.842	-5.950	-6.841	-6.968	3.10423803
	10.02	0.88264853	0.6097	3.6587	3.5847	-0.1507	-4.377	0.424	-1.421	-3.141	-4.081	-4.870	-5.986	-6.882	-7.010	3.10423851
	10.02	0.88265008	0.5973	3.6729	3.5835	-0.1786	-4.412	0.417	-1.435	-3.161	-4.106	-4.900	-6.023	-6.924	-7.053	3.10423899
	10.02	0.88265157	0.5836	3.6873	3.5823	-0.2082	-4.448	0.410	-1.450	-3.180	-4.131	-4.930	-6.060	-6.966	-7.097	3.10423970
	10.02	0.88265210	0.5789	3.6922	3.5818	-0.2183	-4.461	0.408	-1.454	-3.187	-4.139	-4.940	-6.073	-6.981	-7.112	3.10423970
	10.02	0.88265246	0.5789	3.6084	4.1364	2.0836	-4.251	-3.939	-3.319	-3.207	-3.179	-3.128	-2.957	-2.919	-2.879	3.10423994
	10.02	0.88265288	0.5789	3.6107	4.2464	2.5215	-4.257	-3.584	-2.767	-2.599	-2.537	-2.443	-2.195	-2.127	-2.067	3.10424018
	10.02	0.88265324	0.5789	3.6137	4.3234	2.8263	-4.264	-3.275	-2.375	-2.165	-2.078	-1.956	-1.663	-1.577	-1.503	3.10424018
	10.02	0.88265353	0.5789	3.6166	4.3773	3.0392	-4.271	-3.106	-2.116	-1.886	-1.788	-1.650	-1.325	-1.227	-1.142	3.10424042
	10.02	0.88265377	0.5789	3.6155	4.5437	3.7058	-4.269	-2.423	-1.286	-0.996	-0.866	-0.692	-0.298	-0.174	-0.067	3.10424042
	10.02	0.88265401	0.5789	3.6110	4.6542	4.1522	-4.257	-1.697	-0.522	-0.210	-0.071	0.109	0.514	0.643	0.754	3.10424042
	10.02	0.88265413	0.5789	3.6038	4.7288	4.4582	-4.239	-1.310	-0.106	0.208	0.345	0.527	0.941	1.069	1.179	3.10424042
	10.02	0.88265431	0.5789	3.5918	4.7965	4.7409	-4.210	-0.935	0.292	0.608	0.745	0.930	1.351	1.480	1.590	3.10424066
	10.02	0.88265443	0.5789	3.5793	4.8481	4.9598	-4.178	-0.561	0.675	0.999	1.141	1.330	1.758	1.890	2.002	3.10424066
	10.02	0.88265461	0.5789	3.5229	4.9566	5.4502	-4.037	0.319	1.568	1.906	2.055	2.253	2.692	2.829	2.945	3.10424066
	10.02	0.88265473	0.5789	3.4611	5.0181	5.7578	-3.883	0.900	2.156	2.499	2.652	2.854	3.298	3.438	3.555	3.10424066
	10.02	0.88265479	0.5789	3.3448	5.0729	6.0934	-3.592	1.575	2.836	3.184	3.340	3.544	3.993	4.134	4.253	3.10424066
	10.02	0.88265485	0.5789	3.2049	5.0949	6.3212	-3.242	2.080	3.342	3.693	3.849	4.054	4.504	4.647	4.766	3.10424066
	10.02	0.88265496	0.5789	3.1286	5.0980	6.4099	-3.052	2.292	3.555	3.906	4.062	4.268	4.718	4.861	4.980	3.10424089
	10.02	0.88265508	0.5789	2.9184	5.0915	6.5940	-2.526	2.772	4.034	4.384	4.540	4.745	5.195	5.338	5.457	3.10424089
	10.02	0.88265544	0.5789	2.8603	5.0872	6.6351	-2.381	2.887	4.149	4.499	4.655	4.860	5.309	5.452	5.571	3.10424089
	10.02	0.88265759	0.5789	2.6343	5.0640	6.7682	-1.816	3.289	4.549	4.896	5.051	5.255	5.703	5.844	5.963	3.10424185
	10.02	0.88277870	0.5789	2.5976	5.0632	6.8017	-1.724	3.375	4.635	4.982	5.137	5.341	5.789	5.930	6.049	3.10428452
	10.02	0.88557822	0.5800	2.3573	5.0365	6.9360	-1.123	3.788	5.046	5.391	5.544	5.747	6.193	6.333	6.451	3.10527229
	10.02	0.88558668	0.5800	2.1025	5.0061	7.0692	-0.486	4.598	5.734	6.072	6.227	6.430	6.875	7.013	7.131	3.10527539
	10.02	0.88558692	0.5800	2.0738	5.0033	7.0867	-0.414	4.707	5.826	6.162	6.317	6.521	6.965	7.104	7.221	3.10527539
	10.02	0.88558739	0.5800	1.9430	4.9858	7.1478	-0.088	4.970	6.067	6.400	6.556	6.759	7.202	7.339	7.457	3.10527563
	10.02	0.88558823	0.5800	1.7921	4.9640	7.2112	0.290	5.183	6.279	6.609	6.764	6.965	7.407	7.543	7.661	3.10527587
	10.02	0.88558930	0.5800	1.6563	4.9449	7.2707	0.629	5.380	6.473	6.800	6.955	7.156	7.596	7.732	7.849	3.10527635
	10.02	0.88559109	0.5800	1.5067	4.9216	7.3274	1.003	5.577	6.667	6.992	7.145	7.346	7.784	7.918	8.035	3.10527682
	10.02	0.88559324	0.5800	1.3713	4.9006	7.3784	1.342	5.755	6.842	7.164	7.317	7.516	7.953	8.086	8.202	3.10527778
	10.02	0.88559622	0.5800	1.2031	4.8727	7.4352	1.762	5.962	7.045	7.364	7.515	7.713	8.149	8.281	8.397	3.10527873
	10.02	0.88560009	0.5800	1.0408	4.8450	7.4867	2.168	6.156	7.236	7.550	7.701	7.898	8.331	8.462	8.577	3.10528016
	10.02	0.88560385	0.5800	0.9118	4.8224	7.5252	2.490	6.306	7.382	7.693	7.843	8.039	8.471	8.601	8.716	3.10528135
	10.02	0.88560826	0.5800	0.7848	4.7988	7.5580	2.808	6.443	7.516	7.824	7.973	8.168	8.598	8.727	8.841	3.10528302
	10.02	0.88561243	0.5800	0.6761	4.7779	7.5829	3.080	6.556	7.625	7.929	8.078	8.272	8.700	8.829	8.942	3.10528445
	10.02	0.88562185	0.5800	0.4953	4.7423	7.6215	3.532	6.742	7.804	8.101	8.250	8.442	8.868	8.995	9.107	3.10528779
	10.02	0.88562703	0.5800	0.3986	4.7231	7.6412	3.773	6.839	7.899	8.192	8.339	8.531	8.955	9.081	9.194	3.10528946
	10.02	0.88564110	0.5800	0.2073	4.6839	7.6757	4.252	7.032	8.082	8.367	8.514	8.703	9.124	9.248	9.360	3.10529447
	10.02	0.88565171	0.5800	0.0934	4.6598	7.6933	4.537	7.148	8.191	8.470	8.616	8.804	9.223	9.345	9.457	3.10529828
	10.02	0.88565701	0.5800	0.0326	4.6475	7.7047	4.688	7.214	8.253	8.529	8.675	8.862	9.280	9.401	9.513	3.10530019
	10.02	0.88567978	0.5800	-0.1484	4.6083	7.7289	5.141	7.393	8.421	8.688	8.831	9.017	9.430	9.549	9.660	3.10530806
	10.02	0.88572377	0.5800	-0.3893	4.5557	7.7594	5.743	7.673	8.679	8.926	9.067	9.249	9.654	9.768	9.879	3.10532355
	10.02	0.88577521	0.5801	-0.5550	4.5191	7.7788	6.157	7.915	8.893	9.120	9.259	9.438	9.832	9.941	10.051	3.10534167
	10.02	0.88581228	0.5801	-0.6489	4.4975	7.7864	6.392	8.060	9.020	9.234	9.371	9.547	9.935	10.039	10.148	3.10535479
	10.02	0.88584828	0.5801	-0.7314	4.4791	7.7952	6.598	8.191	9.134	9.336	9.472	9.646	10.027	10.128	10.237	3.10536742
	10.02	0.88594359	0.5801	-0.8681	4.4481	7.8081	6.940	8.427	9.335	9.513	9.643	9.810	10.176	10.267	10.372	3.10540080
	10.02	0.88603383	0.5802	-0.9665	4.4266	7.8204	7.186	8.602	9.484	9.644	9.772	9.932	10.286	10.373	10.473	3.10543251
	10.02	0.88616937	0.5802	-1.0677	4.4032	7.8280	7.439	8.778	9.632	9.773	9.896	10.051	10.393	10.472	10.569	3.10548019
	10.02	0.88624191	0.5802	-1.1401	4.3936	7.8620	7.620	8.922	9.766	9.898	10.019	10.171	10.509	10.585	10.681	3.10550570
	10.02	0.88633215	0.5803	-1.2406	4.3829	7.9196	7.871	9.130	9.963	10.084	10.204	10.352	10.685	10.758	10.852	3.10553741
	10.02	0.88644493	0.5803	-1.3146	4.3672	7.9311	8.057	9.253	10.067	10.176	10.292	10.434	10.760	10.828	10.922	3.10557699
	10.02	0.88658553	0.5804	-1.3861	4.3502	7.9347	8.235	9.363	10.158	10.252	10.365	10.501	10.820	10.882	10.974	3.10562634
	10.02	0.88675904	0.5804	-1.4592	4.3328	7.9383	8.418	9.477	10.251	10.331	10.440	10.570	10.880	10.937	11.027	3.10568714
	10.02	0.88696903	0.5805	-1.5332	4.3152	7.9419	8.603	9.592	10.345	10.409	10.516	10.639	10.941	10.993	11.081	3.10576081
	10.02	0.88721675	0.5806	-1.6075	4.2975	7.9453	8.789	9.708	10.439	10.488	10.591	10.708	11.001	11.048	11.134	3.10584760
	10.02	0.88750052	0.5807	-1.6824	4.2796	7.9486	8.976	9.829	10.533	10.566	10.665	10.777	11.060	11.101	11.185	3.10594702
	10.02	0.88782215	0.5808	-1.7577	4.2615	7.9518	9.164	9.951	10.629	10.644	10.739	10.845	11.118	11.154	11.236	3.10605955
	10.02	0.88818550	0.5810	-1.8334	4.2433	7.9548	9.354	10.075	10.725	10.722	10.813	10.914	11.176	11.206	11.286	3.10618663
	10.02	0.88859439	0.5811	-1.9094	4.2250	7.9578	9.544	10.201	10.823	10.800	10.888	10.982	11.234	11.257	11.335	3.10632944
	10.02	0.88913566	0.5813	-1.9984	4.2035	7.9610	9.766	10.349	10.939	10.891	10.974	11.061	11.301	11.317	11.392	3.10651827
	10.02	0.88974226	0.5816	-2.0867	4.1822	7.9640	9.987	10.496	11.056	10.984	11.061	11.138	11.365	11.374	11.446	3.10672975
	10.02	0.89042193	0.5818	-2.1738	4.1611	7.9669	10.204	10.641	11.173	11.075	11.146	11.214	11.427	11.429	11.499	3.10696626
	10.02	0.89118308	0.5821	-2.2597	4.1403	7.9698	10.419	10.779	11.288	11.167	11.229	11.287	11.487	11.481	11.549	3.10723090
	10.02	0.89203519	0.5825	-2.3448	4.1196	7.9727	10.632	10.909	11.400	11.259	11.311	11.356	11.543	11.529	11.595	3.10752630
	10.02	0.89298964	0.5828	-2.4290	4.0992	7.9754	10.843	11.029	11.508	11.349	11.387	11.420	11.594	11.573	11.637	3.10785675
	10.02	0.89405864	0.5832	-2.5122	4.0790	7.9781	11.050	11.141	11.612	11.440	11.464	11.482	11.643	11.615	11.678	3.10822582
	10.02	0.89525700	0.5837	-2.5942	4.0591	7.9808	11.256	11.264	11.729	11.545	11.552	11.554	11.697	11.661	11.722	3.10863853
	10.02	0.89616829	0.5840	-2.6500	4.0456	7.9827	11.395	11.354	11.817	11.625	11.619	11.608	11.738	11.696	11.754	3.10895181
	10.02	0.89716780	0.5844	-2.7071	4.0317	7.9848	11.538	11.454	11.918	11.720	11.699	11.673	11.786	11.736	11.791	3.10929441
	10.02	0.89815015	0.5848	-2.7586	4.0193	7.9867	11.666	11.548	12.014	11.810	11.774	11.735	11.830	11.773	11.826	3.10963035
	10.02	0.89920712	0.5852	-2.8104	4.0067	7.9887	11.796	11.646	12.115	11.905	11.854	11.800	11.877	11.813	11.862	3.10999107
	10.02	0.90036011	0.5856	-2.8620	3.9943	7.9906	11.925	11.750	12.223	12.007	11.941	11.871	11.927	11.855	11.900	3.11038351
	10.02	0.90172434	0.5862	-2.9178	3.9808	7.9928	12.064	11.870	12.350	12.127	12.042	11.957	11.987	11.904	11.944	3.11084652
	10.02	0.90340120	0.5868	-2.9796	3.9658	7.9951	12.219	12.006	12.491	12.261	12.156	12.052	12.053	11.958	11.993	3.11141372
	10.02	0.90541786	0.5876	-3.0463	3.9496	7.9978	12.386	12.154	12.645	12.406	12.280	12.155	12.125	12.017	12.046	3.11209321
	10.02	0.90767008	0.5884	-3.1125	3.9336	8.0005	12.551	12.317	12.806	12.553	12.406	12.262	12.201	12.077	12.099	3.11284804
	10.02	0.91018492	0.5894	-3.1788	3.9175	8.0033	12.717	12.483	12.969	12.701	12.532	12.370	12.276	12.137	12.152	3.11368656
	10.02	0.91299361	0.5904	-3.2451	3.9015	8.0062	12.883	12.650	13.133	12.849	12.658	12.476	12.351	12.197	12.205	3.11461759
	10.02	0.91344750	0.5906	-3.2488	3.9006	8.0065	12.892	12.659	13.142	12.857	12.666	12.482	12.355	12.201	12.208	3.11476731
	10.02	0.91543072	0.5914	-3.2230	3.9070	8.0070	12.828	12.594	13.078	12.800	12.617	12.441	12.327	12.179	12.189	3.11542058
	10.02	0.91716981	0.5920	-3.1952	3.9139	8.0073	12.758	12.524	13.010	12.738	12.564	12.397	12.297	12.155	12.168	3.11599088
	10.02	0.91869903	0.5926	-3.1658	3.9212	8.0075	12.684	12.449	12.937	12.672	12.508	12.351	12.264	12.129	12.146	3.11649060
	10.02	0.92004633	0.5931	-3.1342	3.9290	8.0074	12.606	12.371	12.860	12.602	12.449	12.300	12.229	12.101	12.122	3.11692929
	10.02	0.92115122	0.5935	-3.1037	3.9365	8.0073	12.529	12.295	12.785	12.535	12.391	12.251	12.195	12.074	12.098	3.11728811
	10.02	0.92280477	0.5941	-3.0818	3.9420	8.0076	12.474	12.241	12.732	12.486	12.350	12.216	12.171	12.056	12.081	3.11782360
	10.02	0.92445749	0.5947	-3.0634	3.9466	8.0080	12.429	12.196	12.687	12.446	12.315	12.187	12.151	12.040	12.068	3.11835694
	10.02	0.92624491	0.5954	-3.0486	3.9503	8.0086	12.391	12.159	12.651	12.413	12.287	12.164	12.135	12.028	12.057	3.11893129
	10.02	0.92821467	0.5961	-3.0362	3.9535	8.0094	12.360	12.132	12.623	12.386	12.265	12.145	12.123	12.018	12.048	3.11956191
	10.02	0.93062752	0.5970	-3.0270	3.9559	8.0105	12.338	12.112	12.602	12.367	12.249	12.132	12.114	12.011	12.042	3.12033033
	10.02	0.93331730	0.5980	-3.0268	3.9561	8.0120	12.337	12.111	12.601	12.367	12.249	12.132	12.115	12.012	12.043	3.12118244
	10.02	0.93789208	0.5996	-3.0453	3.9519	8.0150	12.383	12.153	12.644	12.407	12.284	12.162	12.137	12.030	12.060	3.12261987
	10.02	0.94352543	0.6017	-3.0907	3.9412	8.0190	12.497	12.263	12.754	12.508	12.370	12.236	12.189	12.073	12.098	3.12437057
	10.02	0.95063806	0.6043	-3.1735	3.9214	8.0245	12.704	12.468	12.957	12.692	12.528	12.371	12.285	12.150	12.167	3.12655044
	10.02	0.95988899	0.6077	-3.3108	3.8885	8.0323	13.047	12.833	13.303	12.999	12.792	12.593	12.443	12.277	12.278	3.12933612
	10.02	0.97239208	0.6122	-3.5282	3.8361	8.0436	13.590	13.497	13.889	13.491	13.212	12.947	12.700	12.486	12.454	3.13301468
	10.02	0.99016196	0.6186	-3.8659	3.7548	8.0603	14.435	15.077	15.184	14.573	14.188	13.828	13.383	13.022	12.972	3.13807940
	10.02	0.99877208	0.6217	-4.0359	3.7138	8.0687	14.860	16.021	15.860	15.077	14.609	14.184	13.630	13.188	13.113	3.14046693
	10.02	1.00838828	0.6252	-4.0706	3.7060	8.0748	14.946	16.223	16.001	15.187	14.701	14.263	13.686	13.226	13.147	3.14308310
	10.02	1.02926934	0.6328	-4.1303	3.6930	8.0877	15.096	16.579	16.253	15.386	14.866	14.404	13.788	13.297	13.209	3.14858246
	10.02	1.06198001	0.6444	-4.2026	3.6778	8.1070	15.276	17.015	16.563	15.636	15.071	14.580	13.916	13.388	13.290	3.15672874
	10.02	1.09837997	0.6566	-4.2939	3.6577	8.1261	15.505	17.585	16.991	15.977	15.344	14.805	14.084	13.521	13.405	3.16517949
	10.02	1.10944164	0.6598	-4.3344	3.6482	8.1308	15.606	17.847	17.190	16.134	15.467	14.905	14.157	13.581	13.455	3.16762900
	10.02	1.11542153	0.6615	-4.3520	3.6442	8.1332	15.650	17.957	17.278	16.203	15.522	14.949	14.190	13.612	13.481	3.16893148
	10.02	1.12043643	0.6629	-4.3625	3.6418	8.1352	15.676	18.021	17.330	16.244	15.554	14.975	14.210	13.631	13.497	3.17001200
	10.02	1.12457371	0.6641	-4.3689	3.6404	8.1368	15.692	18.060	17.361	16.269	15.574	14.991	14.223	13.642	13.507	3.17089581
	10.02	1.13384533	0.6667	-4.3730	3.6400	8.1409	15.702	18.077	17.376	16.282	15.585	15.001	14.232	13.651	13.515	3.17285085
	10.02	1.14316702	0.6694	-4.3608	3.6437	8.1452	15.672	17.987	17.306	16.229	15.545	14.971	14.211	13.633	13.501	3.17478204
	10.02	1.15279210	0.6721	-4.3446	3.6484	8.1496	15.632	17.870	17.214	16.158	15.493	14.930	14.183	13.607	13.482	3.17674088
	10.02	1.16248238	0.6748	-4.3463	3.6487	8.1542	15.636	17.869	17.215	16.161	15.496	14.935	14.188	13.612	13.487	3.17867732
	10.02	1.17275572	0.6776	-4.3658	3.6446	8.1591	15.684	17.984	17.308	16.235	15.555	14.983	14.226	13.648	13.518	3.18069267
	10.02	1.17830181	0.6792	-4.3805	3.6413	8.1618	15.721	18.074	17.380	16.293	15.600	15.020	14.254	13.674	13.540	3.18176484
	10.02	1.18370306	0.6805	-4.3916	3.6388	8.1637	15.749	18.143	17.435	16.336	15.635	15.047	14.275	13.694	13.557	3.18279886
	10.02	1.18734026	0.6813	-4.4021	3.6364	8.1649	15.775	18.209	17.489	16.378	15.667	15.074	14.295	13.712	13.572	3.18348932
	10.02	1.19098830	0.6822	-4.4150	3.6333	8.1661	15.808	18.291	17.554	16.429	15.707	15.106	14.319	13.735	13.591	3.18417716
	10.02	1.19465876	0.6830	-4.4380	3.6277	8.1674	15.865	18.438	17.672	16.521	15.779	15.163	14.362	13.775	13.624	3.18486476
	10.02	1.19952393	0.6842	-4.4742	3.6189	8.1691	15.955	18.672	17.860	16.667	15.892	15.253	14.428	13.842	13.682	3.18576908
	10.02	1.20477152	0.6854	-4.5118	3.6098	8.1709	16.049	18.915	18.056	16.818	16.010	15.346	14.497	13.913	13.745	3.18673563
	10.02	1.20807862	0.6862	-4.5303	3.6053	8.1720	16.096	19.033	18.152	16.892	16.067	15.392	14.530	13.949	13.776	3.18734026
	10.02	1.21134269	0.6869	-4.5419	3.6026	8.1732	16.125	19.107	18.211	16.938	16.103	15.420	14.552	13.971	13.796	3.18793344
	10.02	1.21598804	0.6880	-4.5551	3.5996	8.1749	16.158	19.197	18.281	16.992	16.145	15.453	14.576	13.996	13.819	3.18877172
	10.02	1.28463042	0.7043	-4.5120	3.6141	8.2002	16.050	18.845	18.009	16.792	15.999	15.347	14.509	13.924	13.760	3.20039248
	10.02	1.30208063	0.7090	-4.5545	3.6045	8.2073	16.156	19.107	18.221	16.958	16.130	15.452	14.589	14.007	13.834	3.20312929
	10.02	1.31464601	0.7123	-4.5916	3.5960	8.2123	16.249	19.408	18.437	17.117	16.254	15.548	14.658	14.079	13.900	3.20504880
	10.02	1.32404888	0.7148	-4.6192	3.5896	8.2159	16.318	19.690	18.622	17.248	16.355	15.623	14.710	14.133	13.951	3.20645833
	10.02	1.33114290	0.7167	-4.6378	3.5854	8.2187	16.364	19.879	18.745	17.335	16.422	15.673	14.746	14.169	13.985	3.20750666
	10.02	1.33664405	0.7181	-4.6505	3.5825	8.2207	16.396	20.007	18.829	17.394	16.468	15.708	14.770	14.194	14.009	3.20831108
	10.02	1.34685099	0.7208	-4.6358	3.5868	8.2249	16.360	19.827	18.714	17.317	16.410	15.667	14.744	14.168	13.985	3.20978355
	10.02	1.35699689	0.7235	-4.5968	3.5972	8.2291	16.262	19.379	18.428	17.118	16.261	15.560	14.674	14.095	13.917	3.21122241
	10.02	1.36313677	0.7251	-4.5665	3.6052	8.2317	16.186	19.126	18.244	16.984	16.158	15.482	14.621	14.039	13.867	3.21208143
	10.02	1.36526239	0.7256	-4.6000	3.5969	8.2323	16.270	19.399	18.442	17.130	16.271	15.568	14.682	14.102	13.924	3.21237683
	10.02	1.36736763	0.7262	-4.6331	3.5887	8.2328	16.353	19.757	18.674	17.292	16.394	15.659	14.743	14.166	13.983	3.21266818
	10.02	1.36919188	0.7266	-4.6534	3.5837	8.2334	16.404	19.976	18.815	17.391	16.470	15.714	14.780	14.204	14.019	3.21291995
	10.02	1.37162971	0.7273	-4.6732	3.5788	8.2341	16.453	20.188	18.953	17.487	16.543	15.768	14.817	14.242	14.055	3.21325517
	10.02	1.46217835	0.7504	-4.6542	3.5890	8.2695	16.405	19.798	18.720	17.341	16.445	15.711	14.796	14.219	14.037	3.22481298
	10.02	1.48199654	0.7554	-4.6682	3.5866	8.2769	16.441	19.914	18.798	17.399	16.492	15.748	14.825	14.248	14.065	3.22712970
	10.02	1.49784398	0.7594	-4.6912	3.5818	8.2827	16.498	20.134	18.944	17.503	16.573	15.810	14.869	14.294	14.108	3.22893214
	10.02	1.50831389	0.7620	-4.7154	3.5763	8.2865	16.559	20.378	19.104	17.617	16.661	15.876	14.915	14.342	14.153	3.23009944
	10.02	1.51569486	0.7638	-4.7325	3.5724	8.2892	16.601	20.577	19.222	17.700	16.729	15.924	14.950	14.376	14.187	3.23091125
	10.02	1.52114701	0.7651	-4.7459	3.5694	8.2911	16.635	20.745	19.317	17.766	16.785	15.961	14.979	14.404	14.214	3.23150516
	10.02	1.52529466	0.7662	-4.7553	3.5672	8.2926	16.658	20.862	19.384	17.812	16.824	15.988	14.999	14.424	14.233	3.23195386
	10.02	1.52845359	0.7669	-4.7596	3.5663	8.2937	16.669	20.912	19.412	17.833	16.841	16.000	15.008	14.433	14.242	3.23229384
	10.02	1.53091300	0.7676	-4.7605	3.5662	8.2945	16.671	20.918	19.416	17.836	16.844	16.002	15.010	14.435	14.244	3.23255730
	10.02	1.53954470	0.7697	-4.7162	3.5778	8.2978	16.561	20.329	19.078	17.604	16.655	15.876	14.922	14.347	14.160	3.23347449
	10.02	1.55014253	0.7723	-4.7088	3.5803	8.3018	16.542	20.228	19.015	17.562	16.625	15.856	14.910	14.335	14.148	3.23458481
	10.02	1.57264221	0.7780	-4.7166	3.5796	8.3100	16.561	20.269	19.046	17.587	16.647	15.876	14.927	14.352	14.166	3.23688555
	10.02	1.58508778	0.7811	-4.7277	3.5775	8.3145	16.589	20.368	19.112	17.636	16.686	15.906	14.949	14.375	14.188	3.23812652
	10.02	1.59519875	0.7836	-4.7435	3.5741	8.3182	16.629	20.529	19.215	17.709	16.744	15.949	14.981	14.407	14.218	3.23911810
	10.02	1.60198200	0.7853	-4.7610	3.5701	8.3206	16.673	20.749	19.339	17.795	16.817	15.998	15.018	14.443	14.254	3.23977494
	10.02	1.60683644	0.7865	-4.7748	3.5670	8.3223	16.707	20.922	19.437	17.864	16.874	16.037	15.047	14.472	14.281	3.24024105
	10.02	1.61048198	0.7874	-4.7860	3.5643	8.3236	16.735	21.064	19.518	17.920	16.922	16.069	15.070	14.495	14.304	3.24058890
	10.02	1.61330891	0.7881	-4.7949	3.5623	8.3245	16.757	21.178	19.583	17.965	16.959	16.094	15.089	14.513	14.322	3.24085736
	10.02	1.61551178	0.7886	-4.7995	3.5612	8.3253	16.769	21.234	19.615	17.987	16.978	16.107	15.099	14.523	14.332	3.24106574
	10.02	1.61727393	0.7891	-4.8008	3.5610	8.3258	16.772	21.248	19.623	17.993	16.983	16.110	15.102	14.526	14.334	3.24123192
	10.02	1.61846638	0.7894	-4.8052	3.5599	8.3263	16.783	21.305	19.655	18.015	17.002	16.123	15.111	14.535	14.343	3.24134421
	10.02	1.61946917	0.7896	-4.8034	3.5604	8.3266	16.779	21.279	19.640	18.005	16.994	16.118	15.107	14.531	14.340	3.24143839
	10.02	1.62030745	0.7898	-4.8017	3.5609	8.3269	16.774	21.254	19.627	17.996	16.986	16.113	15.104	14.528	14.336	3.24151707
	10.02	1.62101102	0.7900	-4.8001	3.5613	8.3271	16.770	21.231	19.614	17.987	16.979	16.108	15.101	14.525	14.333	3.24158311
	10.02	1.62161064	0.7901	-4.7987	3.5617	8.3274	16.767	21.210	19.603	17.980	16.972	16.104	15.098	14.522	14.331	3.24163914
	10.02	1.62212753	0.7903	-4.7974	3.5621	8.3275	16.763	21.191	19.592	17.972	16.966	16.100	15.095	14.519	14.328	3.24168754
	10.02	1.62256300	0.7904	-4.7961	3.5624	8.3277	16.760	21.173	19.582	17.966	16.961	16.097	15.092	14.517	14.326	3.24172831
	10.02	1.62293231	0.7905	-4.7949	3.5628	8.3278	16.757	21.156	19.572	17.959	16.955	16.093	15.090	14.514	14.323	3.24176264
