# File generated by CMD 2.5 (http://stev.oapd.inaf.it/cmd) on Mon Aug  4 23:53:44 CEST 2014
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.00100		Age = 	1.050e+10 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF
	10.02	0.87246215	0.8690	0.8157	3.7347	3.4460	2.731	3.545	3.559	2.906	2.495	2.105	1.595	1.174	1.125	3.10058856
	10.02	0.87328184	0.8697	0.8816	3.7320	3.3697	2.566	3.410	3.410	2.746	2.330	1.936	1.418	0.991	0.940	3.10088539
	10.02	0.87396634	0.8702	0.9443	3.7298	3.2987	2.409	3.276	3.265	2.593	2.173	1.776	1.252	0.820	0.768	3.10113311
	10.02	0.87456858	0.8707	1.0061	3.7280	3.2298	2.255	3.142	3.121	2.441	2.018	1.618	1.089	0.653	0.601	3.10135055
	10.02	0.87515450	0.8710	1.0705	3.7260	3.1576	2.094	3.002	2.972	2.284	1.857	1.453	0.919	0.478	0.425	3.10156178
	10.02	0.87565440	0.8713	1.1364	3.7242	3.0844	1.929	2.860	2.818	2.123	1.693	1.286	0.746	0.301	0.247	3.10174179
	10.02	0.87607926	0.8715	1.1960	3.7225	3.0182	1.780	2.734	2.681	1.978	1.545	1.136	0.590	0.140	0.086	3.10189462
	10.02	0.87647122	0.8717	1.2586	3.7205	2.9477	1.623	2.607	2.538	1.827	1.390	0.977	0.425	-0.030	-0.084	3.10203552
	10.02	0.87680280	0.8717	1.3170	3.7187	2.8821	1.478	2.489	2.406	1.685	1.245	0.829	0.272	-0.188	-0.243	3.10215449
	10.02	0.87711239	0.8717	1.3766	3.7168	2.8148	1.328	2.369	2.271	1.541	1.096	0.677	0.115	-0.350	-0.406	3.10226560
	10.02	0.87739456	0.8717	1.4379	3.7146	2.7450	1.175	2.248	2.133	1.393	0.944	0.521	-0.048	-0.518	-0.574	3.10236669
	10.02	0.87764370	0.8715	1.5002	3.7125	2.6741	1.020	2.124	1.994	1.243	0.790	0.363	-0.212	-0.688	-0.745	3.10245609
	10.02	0.87786180	0.8713	1.5606	3.7102	2.6043	0.869	2.008	1.860	1.099	0.640	0.209	-0.373	-0.855	-0.913	3.10253406
	10.02	0.87805599	0.8711	1.6195	3.7079	2.5363	0.721	1.894	1.731	0.958	0.494	0.059	-0.529	-1.018	-1.076	3.10260367
	10.02	0.87822825	0.8707	1.6773	3.7060	2.4705	0.577	1.780	1.602	0.818	0.351	-0.088	-0.682	-1.176	-1.235	3.10266542
	10.02	0.87838769	0.8703	1.7363	3.7035	2.4013	0.429	1.672	1.475	0.677	0.204	-0.239	-0.841	-1.340	-1.400	3.10272241
	10.02	0.87853611	0.8698	1.7967	3.7009	2.3304	0.278	1.563	1.345	0.534	0.054	-0.393	-1.003	-1.508	-1.570	3.10277534
	10.02	0.87868273	0.8691	1.8532	3.6987	2.2646	0.137	1.463	1.224	0.400	-0.084	-0.536	-1.153	-1.665	-1.727	3.10282779
	10.02	0.87878537	0.8685	1.8800	3.6977	2.2334	0.070	1.416	1.167	0.337	-0.150	-0.604	-1.224	-1.738	-1.801	3.10286450
	10.02	0.87888545	0.8680	1.8349	3.7003	2.2887	0.183	1.480	1.255	0.440	-0.041	-0.490	-1.101	-1.609	-1.670	3.10290027
	10.02	0.87900275	0.8673	1.9075	3.6969	2.2024	0.001	1.363	1.106	0.271	-0.218	-0.673	-1.296	-1.812	-1.875	3.10294223
	10.02	0.87912005	0.8664	1.9778	3.6937	2.1188	-0.175	1.251	0.962	0.108	-0.388	-0.850	-1.483	-2.009	-2.073	3.10298395
	10.02	0.87921512	0.8654	2.0391	3.6908	2.0454	-0.328	1.155	0.837	-0.033	-0.537	-1.004	-1.647	-2.182	-2.246	3.10301805
	10.02	0.87930620	0.8643	2.1033	3.6877	1.9682	-0.488	1.059	0.709	-0.181	-0.692	-1.166	-1.820	-2.363	-2.428	3.10305047
	10.02	0.87938309	0.8630	2.1650	3.6848	1.8943	-0.643	0.968	0.586	-0.323	-0.842	-1.322	-1.985	-2.536	-2.603	3.10307789
	10.02	0.87945187	0.8616	2.2270	3.6817	1.8189	-0.798	0.882	0.466	-0.465	-0.993	-1.478	-2.152	-2.712	-2.780	3.10310245
	10.02	0.87951267	0.8599	2.2895	3.6783	1.7421	-0.954	0.801	0.347	-0.606	-1.143	-1.636	-2.322	-2.891	-2.960	3.10312414
	10.02	0.87956327	0.8582	2.3457	3.6754	1.6734	-1.094	0.726	0.240	-0.735	-1.279	-1.778	-2.473	-3.051	-3.120	3.10314226
	10.02	0.87961388	0.8561	2.4086	3.6717	1.5945	-1.252	0.657	0.127	-0.871	-1.426	-1.934	-2.642	-3.233	-3.303	3.10316014
