##############################################################################################################################################
NUM     NAME              Gl     Gb     P0                   P1              DM          DIST   DIST_DM     AGE    BINARY   PSR               
#                       (deg)  (deg)  (s)                                (cm^#3 pc)     (kpc)  (kpc)       (Yr)   (type)   TYPE               
##############################################################################################################################################
55    J0131-7310       298.94 -43.65 0.348124045581        1.7614E-15     205.2        62.40  +2.55      3.13e+06 *       *                   

56    J0133-6957       297.69 -46.74 0.463473741703        1.200E-16      22.948       2.42   +2.42      6.12e+07 *       *                   
57    J0134-2937       230.25 -80.25 0.13696158413510      7.83718E-17    21.806       1.78   +1.78      2.77e+07 *       *                   
58    J0137+1654       138.45 -44.57 0.4147630265082       0.01223E-15    26.6         2.51   +2.51      5.37e+08 *       *                   
59    B0136+57         129.22 -4.04  0.272450630950        1.071167E-14   73.779       2.60   2.89       4.03e+05 *       *                   
60    B0138+59         129.15 -2.11  1.2229485205457       3.91070E-16    34.797       2.30   1.78       4.95e+07 *       *                   

61    J0146+6145       129.38 -0.43  8.6889941             1.99E-12       *            3.60   *          6.91e+04 *       AXP,NRAD            
62    B0144+59         130.06 -2.72  0.19632137543003      2.56763E-16    40.111       1.91   1.91       1.21e+07 *       *                   
63    B0148-06         160.37 -65.00 1.464664549334        4.4259E-16     25.66        1.93   +1.93      5.24e+07 *       *                   
64    J0152+0948       146.81 -50.22 2.74664729014         1.700E-15      21.87        2.30   +2.30      2.56e+07 *       *                   
65    B0149-16         179.31 -72.46 0.8327416126878       1.299202E-15   11.922       0.79   0.79       1.02e+07 *       *                   

66    B0153+39         136.37 -21.33 1.81156061131         1.516E-16      60.0         4.85   +4.85      1.89e+08 *       *                   
67    B0154+61         130.59 0.33   2.35174493646         1.889254E-13   30.21        1.61   1.61       1.97e+05 *       *                   
68    J0158+21         143.21 -39.08 0.5053                *              20           1.45   1.45       *        *       *                   
69    J0205+6449       130.72 3.08   0.06571592849324      1.93754256E-   140.7        3.20   7.53       5.37e+03 *       HE                  
70    B0203-40         258.60 -69.63 0.630550140847        1.1994E-15     12.9         0.88   0.88       8.33e+06 *       *                   

71    J0211-8159       299.59 -34.61 1.0773327013          2.9E-16        24.36        1.83   1.83       5.89e+07 *       *                   
72    J0212+5222       135.33 -8.52  0.376386292           6.6E-15        38           1.91   1.91       9.04e+05 *       *                   
73    J0215+6218       132.58 1.03   0.548879819155        6.6212E-16     84.00        3.19   3.19       1.31e+07 *       *                   
74    J0218+4232       139.51 -17.53 0.0023230904678309    7.7389E-20     61.252       5.85   +5.85      4.76e+08 ELL1    HE[khvb98,aaa+09f]  
75    J0229+20         151.58 -36.42 0.8069                *              27           2.97   +2.97      *        *       *                   

76    B0226+70         131.16 9.18   1.466820306152        3.10998E-15    46.64        2.25   2.25       7.47e+06 *       *                   
77    J0240+62         135.30 1.76   0.592                 *              4            0.21   0.21       *        *       *                   
78    J0241+16         157.96 -39.19 1.5454                *              16           1.01   1.01       *        *       *                   
79    J0243+6027       136.27 0.50   1.473                 *              141          6.99   6.99       *        *       *                   
80    J0244+14         159.91 -40.14 2.1281                *              31           2.73   +2.73      *        *       *                   

81    J0248+6021       136.90 0.70   0.217094              5.509E-14      370          2.00   +23.23     6.24e+04 *       HE[tpc+11]          
82    B0254-53         269.86 -55.31 0.447708444058        3.06E-17       15.9         1.15   1.15       2.32e+08 *       *                   
83    B0301+19         161.14 -33.27 1.387584446262        1.295235E-15   15.737       0.95   0.95       1.7e+07  *       *                   
84    J0308+74         132.09 13.61  0.00316               *              6.35         0.34   0.34       *        *       HE                  
85    B0320+39         152.18 -14.34 3.032071956385        6.3562E-16     26.01        1.49   1.49       7.56e+07 *       *                   

86    J0324+5239       145.09 -3.48  0.336620230291        0.381E-15      119          6.28   6.28       1.4e+07  *       *                   
87    J0329+1654       168.50 -31.68 0.893319660649        0.21525E-15    42.1         3.35   +3.35      6.58e+07 *       *                   
88    B0329+54         145.00 -1.22  0.714519699726        2.048265E-15   26.7641      1.00   1.44       5.53e+06 *       *                   
89    B0331+45         150.35 -8.04  0.26920054092953      7.3505E-18     47.153       2.08   2.08       5.8e+08  *       *                   
90    J0337+1715       169.99 -30.04 0.00273258863244      1.7666E-20     21.3162      1.30   1.40       2.45e+09 ELL1    *                   

91    J0340+4130       154.04 -11.47 0.00329               *              49.6         2.67   2.67       *        *       HE                  
92    J0341+5711       144.37 1.55   1.888                 *              100          4.47   4.47       *        *       *                   
93    J0343-3000       227.76 -52.34 2.59702715738         0.057E-15      20.2         2.22   +2.22      7.22e+08 *       *                   
94    B0339+53         147.02 -1.43  1.934478067294        1.342243E-14   67.30        2.48   2.48       2.28e+06 *       *                   
95    J0348+0432       183.34 -36.77 0.0391226569017806    2.4075E-19     40.46313     2.10   +2.94      2.57e+09 ELL1    *                   

96    J0357+3205       162.76 -16.01 0.4441044988          1.3037E-14     *            *      *          5.4e+05  *       NRAD                
97    B0353+52         149.10 -0.52  0.1970300980314       4.76594E-16    103.706      4.73   4.73       6.55e+06 *       *                   
98    B0355+54         148.19 0.81   0.1563824177774       4.396862E-15   57.1420      1.00   2.07       5.64e+05 *       HE[to07]            
99    B0403-76         290.31 -35.91 0.545252742352        1.5382E-15     21.6         1.50   1.50       5.62e+06 *       *                   
100   B0402+61         144.02 7.05   0.5945761650437       5.57316E-15    65.303       3.05   3.05       1.69e+06 *       *                   

101   J0407+1607       176.62 -25.66 0.02570173919463      7.9E-20        35.65        4.07   +4.07      5.15e+09 BT      *                   
102   J0408+551        148.66 2.27   1.837                 *              55           2.04   2.04       *        *       *                   
103   J0408+552        148.66 2.27   0.754                 *              64           2.36   2.36       *        *       *                   
104   J0410-31         230.59 -46.67 1.8785                *              9.2          0.52   0.52       *        *       RRAT                
105   J0413+58         147.12 4.93   0.687                 *              57           2.24   2.24       *        *       *                   

106   B0410+69         138.91 13.67  0.3907150899386       7.6601E-17     27.465       1.57   1.57       8.08e+07 *       *                   
107   J0417+35         163.22 -10.52 0.65440               *              51           2.68   2.68       *        *       *                   
108   J0418+5732       147.98 5.12   9.07838827            0E-15          *            *      *          *        *       AXP,NRAD            
109   J0419+44         157.53 -4.49  1.241                 *              71           3.12   3.12       *        *       *                   
110   J0420-5022       258.14 -44.39 3.453004027           2.759E-14      *            *      *          1.98e+06 *       XINS,NRAD           

111   J0421-0345       197.50 -34.76 2.161308494552        1.16338E-15    44.61        3.09   +3.09      2.94e+07 *       *                   
112   J0426+4933       154.44 0.29   0.922474730055        39.3444E-15    85           3.60   3.60       3.71e+05 *       *                   
113   J0435+27         171.86 -13.18 0.3262793             *              53           3.43   3.43       *        *       *                   
114   J0437-4715       253.39 -41.96 0.00575745192436213   5.729370E-20   2.64476      0.16   0.14       1.59e+09 DD      HE[bt93,aaa+09f]    
115   J0448-2749       228.35 -37.92 0.4504483308563       1.48347E-16    26.22        2.87   +2.87      4.81e+07 *       *                   

116   J0449-7031       282.29 -35.51 0.479163971291        3.371E-15      65.83        53.70  +3.03      2.25e+06 *       *                   
117   B0447-12         211.08 -32.63 0.4380141493906       1.02649E-16    37.041       3.27   +3.27      6.76e+07 *       *                   
118   J0451-67         278.41 -36.29 0.24545429            0E-15          45           53.70  +2.97      *        *       *                   
119   B0450-18         217.08 -34.09 0.548939223294        5.753107E-15   39.903       0.40   +3.14      1.51e+06 *       *                   
120   J0453+16         184.08 -17.14 0.0458                *              30           1.81   1.81       *        BT      *                   

